hypothesis,condition,model,total_responses,fabrication_count,fabrication_rate
H1_framing,negative,anthropic/claude-3.5-sonnet,5,0,0.0
H1_framing,negative,google/gemini-2.5-flash,5,0,0.0
H1_framing,negative,openai/gpt-4.1-mini,5,0,0.0
H1_framing,positive,anthropic/claude-3.5-sonnet,5,0,0.0
H1_framing,positive,google/gemini-2.5-flash,5,0,0.0
H1_framing,positive,openai/gpt-4.1-mini,5,0,0.0
H2_demographic,no_demographics,anthropic/claude-3.5-sonnet,5,0,0.0
H2_demographic,no_demographics,google/gemini-2.5-flash,5,0,0.0
H2_demographic,no_demographics,openai/gpt-4.1-mini,5,0,0.0
H2_demographic,with_demographics,anthropic/claude-3.5-sonnet,5,0,0.0
H2_demographic,with_demographics,google/gemini-2.5-flash,5,0,0.0
H2_demographic,with_demographics,openai/gpt-4.1-mini,5,0,0.0
H3_confirmation,neutral,anthropic/claude-3.5-sonnet,5,0,0.0
H3_confirmation,neutral,google/gemini-2.5-flash,5,0,0.0
H3_confirmation,neutral,openai/gpt-4.1-mini,5,0,0.0
H3_confirmation,primed_defense,anthropic/claude-3.5-sonnet,5,0,0.0
H3_confirmation,primed_defense,google/gemini-2.5-flash,5,0,0.0
H3_confirmation,primed_defense,openai/gpt-4.1-mini,5,0,0.0
H4_selection,MVP,anthropic/claude-3.5-sonnet,5,0,0.0
H4_selection,MVP,google/gemini-2.5-flash,5,0,0.0
H4_selection,MVP,openai/gpt-4.1-mini,5,0,0.0
H4_selection,most_improved_potential,anthropic/claude-3.5-sonnet,5,0,0.0
H4_selection,most_improved_potential,google/gemini-2.5-flash,5,0,0.0
H4_selection,most_improved_potential,openai/gpt-4.1-mini,5,0,0.0
H4_selection,most_risky_players,anthropic/claude-3.5-sonnet,5,0,0.0
H4_selection,most_risky_players,google/gemini-2.5-flash,5,0,0.0
H4_selection,most_risky_players,openai/gpt-4.1-mini,5,0,0.0
